geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
State,,Pennsylvania,All,2009-10,200948,,,152,2445,6.2167689162,101.47988394
State,,Indiana,All,2017-18,201817,,,96,1226,7.8303425775,111.78079562
Region,3,,All,2012-13,201317,2,336,338,4954,6.8227694792,98.362845436
State,,Minnesota,All,2015-16,201611,,,70,817,8.5679314565,109.35750791
State,,Washington,All,2017-18,201818,,,61,1049,5.8150619638,112.14258678
State,,Vermont,All,2015-16,201541,,,8,115,6.9565217391,114.62158424
State,,Rhode Island,All,2016-17,201641,,,15,189,7.9365079365,104.43369289
State,,Georgia,All,2011-12,201225,,,65,1293,5.0270688322,95.409530467
State,,North Dakota,All,2012-13,201241,,,7,104,6.7307692308,91.369960906
State,,Minnesota,All,2010-11,201139,,,63,755,8.3443708609,101.05865174
National,,,65 years and older,2013-14,201434,2,2351,2353,33893,6.9424364913,98.315450982
State,,Iowa,All,2011-12,201230,,,35,506,6.9169960474,94.798174924
Region,1,,All,2011-12,201233,0,150,150,2142,7.0028011204,93.563509065
State,,Wyoming,All,2009-10,201034,,,4,101,3.9603960396,120.27920228
State,,Wisconsin,All,2011-12,201220,,,61,926,6.5874730022,102.17297195
National,,,0-17 years,2011-12,201144,2,23,25,718,3.4818941504,101.20535104
State,,Kentucky,All,2009-10,201038,,,64,763,8.3879423329,94.175279041
State,,South Dakota,All,2013-14,201402,,,20,151,13.245033113,110.28060244
State,,Nevada,All,2014-15,201520,,,25,384,6.5104166667,100.54119062
State,,Pennsylvania,All,2015-16,201549,,,152,2556,5.9467918623,106.08694616
State,,Nevada,All,2017-18,201837,,,33,456,7.2368421053,119.39266386
National,,,0-17 years,2014-15,201441,0,22,22,721,3.0513176144,103.74215786
Region,4,,All,2018-19,201852,31,817,848,12671,6.6924473207,121.6110634
Region,6,,All,2011-12,201140,0,386,386,5431,7.1073467133,97.699698056
State,,Montana,All,2012-13,201339,,,7,191,3.664921466,113.67105188
State,,Wisconsin,All,2009-10,201015,,,74,934,7.9229122056,103.05567581
State,,South Dakota,All,2017-18,201829,,,8,166,4.8192771084,121.23562917
State,,Montana,All,2017-18,201747,,,9,191,4.7120418848,113.67105188
State,,Tennessee,All,2011-12,201221,,,88,1195,7.3640167364,104.4637218
State,,Delaware,All,2010-11,201122,,,7,138,5.0724637681,93.454733977
Region,5,,All,2011-12,201215,5,682,687,8655,7.9376083189,102.70459784
State,,Illinois,All,2016-17,201738,,,133,2079,6.3973063973,107.70365266
Region,4,,All,2012-13,201245,4,689,693,11132,6.2252964427,106.84037233
State,,Hawaii,All,2017-18,201745,,,16,225,7.1111111111,118.52850733
State,,Maine,All,2012-13,201241,,,22,233,9.4420600858,95.291861535
State,,Delaware,All,2012-13,201321,,,4,140,2.8571428571,94.809150412
Region,5,,All,2013-14,201426,1,480,481,8253,5.8281836908,97.934262971
National,,,All,2010-11,201043,5,3497,3502,46538,7.5250333061,97.811032062
State,,Nebraska,All,2010-11,201107,,,38,335,11.343283582,114.72414754
State,,Montana,All,2009-10,200944,,,17,155,10.967741935,92.24614158
Region,2,,All,2016-17,201737,0,264,264,4146,6.3675832127,99.891291442
State,,Utah,All,2009-10,201018,,,20,303,6.600660066,106.09848041
State,,South Dakota,All,2011-12,201230,,,9,129,6.976744186,94.213229898
State,,Tennessee,All,2012-13,201320,,,88,1157,7.6058772688,101.14186287
State,,Arkansas,All,2009-10,201024,,,51,552,9.2391304348,98.655720883
Region,7,,All,2016-17,201728,0,152,152,2453,6.1964940889,104.26240243
State,,Texas,All,2009-10,201030,,,196,2995,6.5442404007,93.25464221
State,,Minnesota,All,2016-17,201722,,,44,834,5.2757793765,111.63300073
State,,Minnesota,All,2016-17,201735,,,42,827,5.0785973398,110.6960331
National,,,18-64 years,2017-18,201740,4,577,581,13431,4.3258134167,109.52195799
Region,4,,All,2018-19,201849,14,734,748,12598,5.937450389,120.91043933
State,,New Mexico,All,2011-12,201226,,,15,312,4.8076923077,100.91305828
State,,Wisconsin,All,2017-18,201806,,,113,1188,9.5117845118,131.0815234
Region,9,,All,2016-17,201640,6,402,408,6458,6.317745432,107.39960644
State,,Wyoming,All,2012-13,201329,,,6,85,7.0588235294,101.22507123
State,,Vermont,All,2015-16,201639,,,5,95,5.2631578947,94.687395679
Region,6,,All,2010-11,201115,2,430,432,5534,7.806288399,99.552592348
State,,Kansas,All,2017-18,201837,,,34,496,6.8548387097,105.19458116
State,,Iowa,All,2017-18,201748,,,42,581,7.2289156627,108.84928781
Region,2,,All,2018-19,201910,32,248,280,3585,7.810320781,86.374886594
State,,New Mexico,All,2014-15,201450,,,27,355,7.6056338028,114.82094772
Region,1,,All,2017-18,201809,56,204,260,2672,9.7305389222,116.71414389
State,,New York City,All,2014-15,201509,,,112,1163,9.630266552,116.80073425
State,,Michigan,All,2010-11,201119,,,146,1709,8.5430076068,101.21940161
State,,New York,All,2012-13,201305,,,214,2078,10.298363811,113.98374368
National,,,18-64 years,2011-12,201151,4,631,635,12496,5.0816261204,103.7715823
State,,Virginia,All,2013-14,201407,,,111,1312,8.4603658537,114.59904044
State,,Ohio,All,2012-13,201336,,,117,1949,6.0030785018,94.695009543
State,,District of Columbia,All,2016-17,201705,,,2,97,2.0618556701,108.61505492
State,,Oregon,All,2009-10,201020,,,50,591,8.4602368866,95.928891512
State,,Arkansas,All,2014-15,201503,,,66,695,9.4964028777,124.21327176
State,,Illinois,All,2012-13,201315,,,141,1921,7.3399271213,99.51838228
State,,New Jersey,All,2011-12,201220,,,85,1307,6.5034429992,98.142865355
State,,Maine,All,2014-15,201517,,,20,275,7.2727272727,112.46893529
State,,Ohio,All,2015-16,201607,,,146,2438,5.9885151764,118.45378823
State,,Florida,All,2011-12,201215,,,190,3369,5.6396556842,101.52857884
State,,Kansas,All,2009-10,201016,,,36,471,7.6433121019,99.892434928
State,,Illinois,All,2017-18,201813,,,164,2103,7.798383262,108.94698487
State,,Arizona,All,2010-11,201050,,,82,941,8.7141339001,103.74643266
State,,Iowa,All,2017-18,201810,,,51,611,8.3469721768,114.46973296
State,,North Dakota,All,2011-12,201152,,,10,124,8.064516129,108.94110723
State,,Idaho,All,2010-11,201114,,,17,248,6.8548387097,111.56503584
State,,Oklahoma,All,2014-15,201505,,,85,860,9.8837209302,123.51312164
State,,Oklahoma,All,2014-15,201535,,,35,652,5.3680981595,93.64018059
State,,Hawaii,All,2014-15,201441,,,21,200,10.5,105.35867319
State,,North Carolina,All,2011-12,201217,,,117,1533,7.6320939335,101.0741596
State,,Colorado,All,2015-16,201543,,,33,685,4.8175182482,111.77779513
Region,2,,All,2009-10,201017,0,317,317,4117,7.6997813942,99.192582457
State,,California,All,2017-18,201745,,,317,4869,6.5105771206,107.3820468
State,,Colorado,All,2013-14,201408,,,42,674,6.2314540059,109.98282324
Region,3,,All,2018-19,201905,22,359,381,5449,6.9921086438,108.19118788
State,,New Hampshire,All,2014-15,201537,,,13,201,6.4676616915,100.69512692
State,,Louisiana,All,2010-11,201133,,,41,744,5.5107526882,95.109822559
State,,Colorado,All,2012-13,201330,,,35,570,6.1403508772,93.012179888
National,,,All,2016-17,201736,12,2824,2836,50981,5.5628567506,107.14908732
State,,Virginia,All,2009-10,201016,,,88,1156,7.6124567474,100.97293502
State,,Georgia,All,2014-15,201529,,,70,1444,4.8476454294,106.55171075
State,,Iowa,All,2013-14,201343,,,48,575,8.347826087,107.72519878
Region,7,,All,2014-15,201511,13,232,245,2712,9.0339233038,115.27094798
Region,5,,All,2015-16,201611,88,706,794,9416,8.4324553951,111.73500789
National,,,18-64 years,2009-10,201026,0,548,548,11857,4.6217424306,93.798799903
State,,New York City,All,2012-13,201323,,,111,953,11.647429171,95.710317918
State,,Arizona,All,2009-10,200941,,,61,929,6.5662002153,102.42341758
State,,Iowa,All,2010-11,201047,,,42,529,7.9395085066,99.107182875
State,,New Jersey,All,2013-14,201346,,,90,1411,6.3784549965,105.95224408
Region,9,,All,2015-16,201633,1,405,406,6270,6.4752791069,104.27307717
State,,Arizona,All,2010-11,201117,,,61,919,6.6376496192,101.32090501
Region,9,,All,2015-16,201551,4,544,548,7102,7.7161362996,118.10963223
State,,Rhode Island,All,2014-15,201533,,,14,192,7.2916666667,106.09137056
Region,6,,All,2016-17,201707,61,536,597,6806,8.7716720541,122.43493739
State,,North Carolina,All,2017-18,201801,,,195,2115,9.219858156,139.44673683
State,,Oregon,All,2014-15,201513,,,40,652,6.1349693252,105.8301815
State,,Missouri,All,2014-15,201443,,,92,1113,8.2659478886,105.45363054
State,,Florida,All,2013-14,201345,,,196,3427,5.719288007,103.27647364
State,,Tennessee,All,2009-10,201003,,,121,1274,9.4976452119,111.3696917
State,,Michigan,All,2012-13,201301,,,184,2023,9.095402867,119.81676387
State,,Rhode Island,All,2016-17,201704,,,18,220,8.1818181818,121.56302876
National,,,65 years and older,2016-17,201726,6,2383,2389,36492,6.5466403595,106.38405196
State,,North Carolina,All,2009-10,200946,,,134,1419,9.4432699084,93.557881587
State,,New Mexico,All,2014-15,201521,,,18,314,5.7324840764,101.55993686
Region,10,,All,2013-14,201351,2,140,142,2099,6.7651262506,113.71326665
State,,New York,All,2013-14,201346,,,124,1905,6.5091863517,104.49424047
State,,New Jersey,All,2014-15,201446,,,66,1334,4.9475262369,100.17030022
State,,Rhode Island,All,2009-10,201012,,,14,151,9.2715231788,83.43644247
State,,Ohio,All,2014-15,201528,,,134,2148,6.2383612663,104.36371498
State,,North Dakota,All,2009-10,201029,,,9,108,8.3333333333,94.884190172
State,,Indiana,All,2009-10,201034,,,56,1061,5.2780395853,96.736887567
State,,Arkansas,All,2013-14,201349,,,44,581,7.5731497418,103.83872071
State,,Virginia,All,2009-10,201013,,,72,1106,6.5099457505,96.605593541
State,,Nebraska,All,2009-10,201006,,,21,299,7.0234113712,102.39558243
State,,Oregon,All,2015-16,201626,,,22,683,3.2210834553,110.86198461
Region,9,,All,2017-18,201804,150,762,912,7854,11.611917494,130.6157493
Region,3,,All,2016-17,201651,5,368,373,5830,6.397941681,115.75603328
State,,North Dakota,All,2012-13,201304,,,18,127,14.173228346,111.57677918
National,,,All,2013-14,201340,3,3140,3143,47492,6.6179567085,99.816097269
State,,Oregon,All,2012-13,201241,,,32,643,4.9766718507,104.36933544
State,,California,All,2009-10,201017,,,437,4411,9.9070505554,97.281209374
State,,Connecticut,All,2012-13,201245,,,37,569,6.5026362039,102.67477099
State,,New Mexico,All,2016-17,201733,,,16,346,4.6242774566,111.90999412
State,,New York,All,2009-10,201036,,,133,1675,7.9402985075,91.87813795
State,,Nevada,All,2018-19,201903,,,41,534,7.6779026217,139.81509321
State,,Nevada,All,2013-14,201421,,,32,405,7.9012345679,106.03953698
State,,Illinois,All,2012-13,201320,,,132,1930,6.8393782383,99.984631859
National,,,65 years and older,2011-12,201223,6,2501,2507,33408,7.504190613,97.413802163
State,,Vermont,All,2009-10,201016,,,7,104,6.7307692308,103.65778053
State,,Oregon,All,2015-16,201546,,,33,686,4.8104956268,111.3489333
Region,1,,All,2012-13,201332,0,136,136,2173,6.258628624,94.917602801
State,,New Jersey,All,2012-13,201334,,,78,1292,6.0371517028,97.016512654
National,,,65 years and older,2010-11,201126,0,2793,2793,33072,8.4452104499,96.585714436
State,,Maine,All,2016-17,201721,,,14,258,5.4263565891,105.5163102
State,,California,All,2014-15,201515,,,397,4985,7.963891675,109.9403375
State,,Ohio,All,2016-17,201646,,,117,2389,4.8974466304,116.07305172
National,,,65 years and older,2017-18,201813,222,3122,3344,40980,8.1600780869,115.31016509
State,,Kansas,All,2011-12,201205,,,34,505,6.7326732673,107.1033538
National,,,65 years and older,2015-16,201542,12,2621,2633,37329,7.0534972809,107.03138957
State,,Texas,All,2009-10,201011,,,281,3364,8.3531510107,104.74411232
Region,6,,All,2010-11,201112,9,462,471,5678,8.2951743572,102.1430465
State,,Alabama,All,2013-14,201430,,,37,896,4.1294642857,97.009381621
State,,New Hampshire,All,2014-15,201507,,,21,249,8.4337349398,124.74172439
State,,Oklahoma,All,2011-12,201143,,,50,712,7.0224719101,102.25737512
Region,6,,All,2016-17,201734,0,334,334,6037,5.5325492794,108.60119263
National,,,65 years and older,2011-12,201216,30,3037,3067,35848,8.5555679536,102.76694795
State,,District of Columbia,All,2015-16,201545,,,8,83,9.6385542169,92.938655237
State,,Tennessee,All,2014-15,201452,,,146,1445,10.103806228,126.31805691
Region,10,,All,2015-16,201543,1,121,122,2025,6.024691358,109.7043187
State,,New York City,All,2011-12,201208,,,115,978,11.758691207,98.221081767
State,,Alaska,All,2009-10,201009,,,4,70,5.7142857143,97.112512446
State,,Arizona,All,2013-14,201413,,,72,1006,7.1570576541,110.91276435
State,,Kansas,All,2012-13,201336,,,42,472,8.8983050847,100.10452078
State,,New York,All,2014-15,201536,,,114,1842,6.1889250814,101.03852544
State,,Missouri,All,2011-12,201148,,,82,1052,7.7946768061,99.674051508
State,,New York City,All,2009-10,201023,,,87,950,9.1578947368,95.409026256
State,,New York,All,2013-14,201438,,,129,1785,7.2268907563,97.911926114
State,,Kentucky,All,2013-14,201416,,,71,892,7.9596412556,110.09744286
State,,New York,All,2009-10,200946,,,199,1883,10.568242167,103.28748284
Region,5,,All,2014-15,201513,20,708,728,9733,7.4797082092,115.49668987
State,,Arkansas,All,2016-17,201642,,,44,573,7.6788830716,102.40892766
State,,Utah,All,2012-13,201322,,,27,285,9.4736842105,99.795600382
State,,Washington,All,2009-10,201002,,,83,966,8.5921325052,103.26953177
State,,New Jersey,All,2014-15,201536,,,58,1239,4.6811945117,93.03673311
Region,9,,All,2016-17,201648,7,512,519,7045,7.3669268985,117.16169516
State,,North Carolina,All,2009-10,200940,,,127,1472,8.6277173913,97.05229154
State,,Minnesota,All,2012-13,201301,,,110,988,11.133603239,132.24628863
State,,South Carolina,All,2014-15,201517,,,71,893,7.9507278835,112.01759756
State,,Wisconsin,All,2014-15,201526,,,43,908,4.7356828194,100.18688826
National,,,All,2012-13,201325,4,3123,3127,46449,6.7321147926,97.623976713
National,,,65 years and older,2011-12,201221,10,2695,2705,33816,7.9991719896,98.267110836
State,,Kansas,All,2010-11,201104,,,51,536,9.5149253731,113.67801512
State,,Connecticut,All,2012-13,201324,,,43,535,8.0373831776,96.539547413
State,,Maine,All,2015-16,201621,,,10,297,3.367003367,121.46645011
State,,New Hampshire,All,2011-12,201237,,,10,194,5.1546391753,97.188331456
Region,7,,All,2014-15,201509,17,252,269,2830,9.5053003534,120.28642433
State,,North Dakota,All,2011-12,201211,,,11,147,7.4829931973,129.14792551
State,,Montana,All,2010-11,201127,,,11,151,7.2847682119,89.865595991
State,,Wisconsin,All,2017-18,201839,,,59,994,5.9356136821,109.67595477
State,,Washington,All,2014-15,201515,,,74,1012,7.3122529644,108.18712852
State,,Michigan,All,2010-11,201139,,,106,1622,6.5351418002,96.06662926
State,,Alaska,All,2016-17,201723,,,2,81,2.4691358025,112.37305012
State,,Florida,All,2014-15,201517,,,223,3557,6.2693280855,107.19416888
Region,6,,All,2010-11,201049,4,452,456,5898,7.7314343845,106.1006848
State,,Illinois,All,2018-19,201906,,,176,2336,7.5342465753,121.01766841
Region,5,,All,2015-16,201548,2,606,608,9200,6.6086956522,109.17184289
State,,Connecticut,All,2016-17,201645,,,42,613,6.8515497553,110.61447208
State,,Wisconsin,All,2017-18,201828,,,55,1034,5.3191489362,114.08947407
State,,West Virginia,All,2012-13,201327,,,28,354,7.9096045198,85.874460281
State,,Connecticut,All,2016-17,201734,,,42,538,7.8066914498,97.080890669
State,,New York,All,2013-14,201344,,,128,1866,6.8595927117,102.35498831
State,,Vermont,All,2012-13,201249,,,14,87,16.091954023,86.713720254
State,,Washington,All,2012-13,201305,,,127,1171,10.845431255,125.18490859
State,,Arizona,All,2009-10,200940,,,64,826,7.7481840194,91.067538126
State,,Texas,All,2015-16,201617,,,270,3670,7.3569482289,114.27196558
State,,Mississippi,All,2017-18,201749,,,49,648,7.5617283951,116.93822044
State,,New Jersey,All,2015-16,201541,,,85,1355,6.2730627306,101.747194
State,,Wyoming,All,2012-13,201322,,,2,85,2.3529411765,101.22507123
State,,Nebraska,All,2017-18,201741,,,22,316,6.9620253165,108.21740484
State,,California,All,2016-17,201731,,,302,4831,6.251293728,106.54398605
State,,Washington,All,2009-10,201031,,,50,895,5.5865921788,95.679328089
State,,North Dakota,All,2012-13,201323,,,3,99,3.0303030303,86.977174324
State,,West Virginia,All,2011-12,201216,,,38,436,8.7155963303,105.76628441
State,,Massachusetts,All,2014-15,201524,,,85,1045,8.1339712919,103.4913309
State,,Nebraska,All,2010-11,201048,,,19,298,6.3758389262,102.05312229
State,,Minnesota,All,2012-13,201330,,,47,727,6.4649243466,97.310781212
State,,Minnesota,All,2014-15,201501,,,136,994,13.682092555,133.04940375
State,,Michigan,All,2015-16,201543,,,121,1801,6.7184897279,106.66831029
State,,Washington,All,2016-17,201738,,,63,1032,6.1046511628,110.32521406
State,,Arkansas,All,2010-11,201121,,,44,569,7.7328646749,101.69403113
State,,New York City,All,2014-15,201527,,,76,962,7.9002079002,96.614192904
State,,Maine,All,2010-11,201045,,,15,239,6.2761506276,97.745729214
State,,Utah,All,2015-16,201630,,,13,317,4.1009463722,111.00072042
State,,New Jersey,All,2011-12,201226,,,88,1343,6.5524944155,100.84611184
Region,8,,All,2012-13,201332,0,72,72,1374,5.2401746725,98.0620883
State,,Kansas,All,2016-17,201737,,,28,473,5.9196617336,100.31660663
State,,Rhode Island,All,2015-16,201629,,,9,173,5.2023121387,95.592745347
State,,Vermont,All,2012-13,201330,,,4,80,5,79.736754256
State,,Missouri,All,2016-17,201710,,,113,1269,8.9046493302,120.23419331
State,,New York City,All,2015-16,201614,,,93,1030,9.0291262136,103.44347057
Region,4,,All,2016-17,201717,20,734,754,11931,6.3196714441,114.50884677
State,,Wyoming,All,2013-14,201415,,,5,77,6.4935064935,91.698005698
State,,North Carolina,All,2016-17,201643,,,118,1740,6.7816091954,114.7221381
State,,Colorado,All,2011-12,201227,,,26,571,4.5534150613,93.175359151
National,,,0-17 years,2009-10,201039,2,14,16,789,2.0278833967,95.125001314
Region,5,,All,2016-17,201739,0,478,478,8895,5.3738055087,105.55255896
State,,Delaware,All,2012-13,201326,,,13,129,10.07751938,87.359860022
State,,Wyoming,All,2014-15,201510,,,7,114,6.1403508772,135.76068376
State,,Delaware,All,2016-17,201730,,,8,170,4.7058823529,115.12539693
State,,New Jersey,All,2016-17,201720,,,75,1416,5.2966101695,106.32769498
State,,Pennsylvania,All,2016-17,201701,,,226,2963,7.6274046574,122.97950762
Region,6,,All,2012-13,201303,58,668,726,7291,9.9574818269,131.1597309
Region,2,,All,2014-15,201507,26,447,473,5007,9.4467745157,120.63572027
State,,Delaware,All,2012-13,201334,,,13,146,8.904109589,98.872399715
State,,Illinois,All,2011-12,201210,,,178,2144,8.302238806,111.07101073
Region,6,,All,2012-13,201333,0,368,368,5491,6.7018757968,98.779053954
State,,District of Columbia,All,2012-13,201312,,,6,96,6.25,107.49531208
State,,Nevada,All,2009-10,201038,,,22,397,5.5415617128,103.94492884
State,,Arizona,All,2013-14,201418,,,65,1027,6.3291139241,113.22804075
State,,Wyoming,All,2011-12,201228,,,1,77,1.2987012987,91.698005698
State,,Nevada,All,2011-12,201141,,,22,395,5.5696202532,103.42127681
Region,8,,All,2016-17,201728,0,67,67,1468,4.5640326975,104.77084834
State,,North Dakota,All,2011-12,201151,,,9,105,8.5714285714,92.248518223
State,,Vermont,All,2014-15,201504,,,24,131,18.320610687,130.56893509
State,,Illinois,All,2010-11,201135,,,140,1844,7.5921908894,95.529358107
State,,Connecticut,All,2011-12,201239,,,37,509,7.2691552063,91.847905856
State,,Maine,All,2013-14,201352,,,20,255,7.8431372549,104.28937636
State,,Idaho,All,2012-13,201312,,,19,225,8.4444444444,101.21827848
State,,District of Columbia,All,2017-18,201826,,,5,101,4.9504950495,113.09402625
State,,Hawaii,All,2010-11,201125,,,17,184,9.2391304348,96.929979332
State,,Alabama,All,2013-14,201349,,,74,1015,7.2906403941,109.89344012
State,,Indiana,All,2015-16,201622,,,64,1140,5.6140350877,103.93972839
Region,7,,All,2014-15,201526,2,165,167,2423,6.8922822947,102.98728133
State,,Oklahoma,All,2010-11,201136,,,44,687,6.404657933,98.666877401
State,,Iowa,All,2016-17,201736,,,34,548,6.204379562,102.66679814
National,,,All,2015-16,201626,10,2914,2924,49746,5.8778595264,104.55343162
State,,Washington,All,2012-13,201325,,,58,934,6.2098501071,99.848594899
State,,Mississippi,All,2010-11,201045,,,49,551,8.8929219601,99.433579415
State,,Florida,All,2015-16,201546,,,176,3595,4.8956884562,108.33934133
State,,Arizona,All,2013-14,201346,,,60,936,6.4102564103,103.19517638
State,,District of Columbia,All,2014-15,201444,,,5,91,5.4945054945,101.89659791
State,,Pennsylvania,All,2014-15,201522,,,127,2333,5.443634805,96.831316664
State,,Colorado,All,2014-15,201518,,,32,649,4.9306625578,105.90334166
Region,1,,All,2011-12,201212,1,215,216,2390,9.0376569038,104.39625895
State,,New Jersey,All,2009-10,201014,,,98,1374,7.1324599709,103.17390742
National,,,0-17 years,2011-12,201148,1,19,20,659,3.0349013657,100.04098404
National,,,18-64 years,2014-15,201507,33,764,797,13541,5.8858282254,119.10381572
State,,Connecticut,All,2015-16,201543,,,26,562,4.6263345196,101.41163672
Region,4,,All,2014-15,201444,8,633,641,10929,5.865129472,104.89206155
National,,,18-64 years,2013-14,201430,1,503,504,12280,4.1042345277,99.116216017
State,,Minnesota,All,2017-18,201818,,,50,861,5.8072009292,115.24701874
State,,Illinois,All,2013-14,201344,,,164,2070,7.922705314,107.23740308
State,,Minnesota,All,2013-14,201341,,,54,798,6.7669172932,106.81431005
State,,Colorado,All,2013-14,201346,,,35,630,5.5555555556,102.80293567
State,,Vermont,All,2014-15,201440,,,8,114,7.0175438596,113.62487482
State,,Montana,All,2014-15,201515,,,19,203,9.3596059113,120.81268865
State,,Kansas,All,2017-18,201813,,,53,546,9.706959707,115.79887361
State,,Louisiana,All,2009-10,200945,,,46,798,5.7644110276,102.01295484
State,,Utah,All,2016-17,201723,,,20,337,5.9347181009,118.00392045
Region,2,,All,2011-12,201236,0,278,278,3951,7.0361933688,95.193075853
Region,2,,All,2017-18,201749,3,315,318,4550,6.989010989,109.6250304
State,,Hawaii,All,2011-12,201143,,,22,201,10.945273632,105.88546655
State,,Hawaii,All,2014-15,201440,,,30,191,15.706806283,100.61753289
Region,4,,All,2010-11,201104,15,961,976,11510,8.4795829713,110.46826137
National,,,65 years and older,2017-18,201832,5,2094,2099,36652,5.726836189,106.94731975
Region,5,,All,2016-17,201720,7,542,549,9137,6.0085367188,108.42425309
Region,6,,All,2016-17,201729,0,335,335,5978,5.6038808966,107.53982599
State,,North Dakota,All,2013-14,201436,,,9,121,7.4380165289,106.30543529
State,,Florida,All,2013-14,201424,,,187,3560,5.2528089888,107.28457723
State,,New Jersey,All,2014-15,201504,,,167,1672,9.9880382775,125.55078108
State,,North Dakota,All,2018-19,201908,,,5,73,6.8493150685,64.134684098
State,,West Virginia,All,2011-12,201145,,,49,469,10.447761194,113.77153071
State,,Vermont,All,2012-13,201317,,,5,109,4.5871559633,108.64132767
Region,1,,All,2015-16,201604,2,197,199,2599,7.6567910735,113.52547155
State,,Ohio,All,2014-15,201440,,,123,2045,6.0146699267,99.359309654
State,,Montana,All,2016-17,201701,,,14,209,6.6985645933,124.38350703
State,,District of Columbia,All,2015-16,201542,,,5,113,4.4247787611,126.53094026
State,,Massachusetts,All,2013-14,201428,,,58,932,6.2231759657,92.300402299
State,,New York,All,2012-13,201315,,,156,2026,7.6999012833,111.13140746
State,,Mississippi,All,2012-13,201326,,,28,555,5.045045045,100.15542028
State,,South Carolina,All,2012-13,201325,,,50,870,5.7471264368,109.13248587
State,,New York,All,2012-13,201313,,,156,1955,7.9795396419,107.23687146
State,,Mississippi,All,2010-11,201138,,,38,547,6.9469835466,98.711738549
State,,New Mexico,All,2013-14,201350,,,22,336,6.5476190476,108.67560123
State,,North Dakota,All,2010-11,201044,,,11,125,8.8,109.81966455
State,,South Dakota,All,2015-16,201614,,,14,174,8.0459770115,127.0783101
State,,Mississippi,All,2013-14,201344,,,33,598,5.5183946488,107.9152096
Region,8,,All,2009-10,201018,0,79,79,1344,5.8779761905,95.920994669
Region,2,,All,2013-14,201406,14,379,393,4489,8.7547337937,108.1553322
State,,Georgia,All,2011-12,201205,,,93,1407,6.6098081023,103.82150763
State,,Illinois,All,2018-19,201905,,,157,2255,6.9623059867,116.8214222
State,,Colorado,All,2010-11,201051,,,48,641,7.488299532,104.59790756
State,,Iowa,All,2012-13,201313,,,65,593,10.961214165,111.09746587
State,,Ohio,All,2016-17,201738,,,106,2222,4.7704770477,107.95911298
State,,Minnesota,All,2014-15,201529,,,39,752,5.1861702128,100.65709418
State,,Colorado,All,2016-17,201718,,,31,709,4.3723554302,115.69409744
State,,Kansas,All,2011-12,201226,,,28,460,6.0869565217,97.559490588
State,,New York,All,2011-12,201151,,,130,1814,7.1664829107,99.502652085
National,,,18-64 years,2016-17,201724,5,557,562,13395,4.1955953714,106.76236615
State,,Delaware,All,2011-12,201239,,,11,145,7.5862068966,98.195191498
State,,Virginia,All,2010-11,201118,,,89,1075,8.2790697674,93.897841823
State,,Louisiana,All,2011-12,201214,,,47,800,5.875,102.26862641
State,,Texas,All,2012-13,201315,,,256,3401,7.527197883,105.89617301
State,,New Mexico,All,2013-14,201349,,,19,357,5.3221288515,115.4678263
State,,Nevada,All,2009-10,201026,,,19,370,5.1351351351,96.875626378
State,,Idaho,All,2015-16,201632,,,16,252,6.3492063492,113.3644719
State,,Texas,All,2010-11,201117,,,234,3109,7.5265358636,96.804234601
State,,Tennessee,All,2015-16,201615,,,117,1351,8.6602516654,118.10082691
State,,New Hampshire,All,2014-15,201442,,,9,235,3.829787234,117.72813346
Region,6,,All,2012-13,201336,0,335,335,5448,6.1490455213,98.00551556
State,,West Virginia,All,2015-16,201550,,,41,436,9.4036697248,105.76628441
State,,Nevada,All,2009-10,201034,,,14,389,3.5989717224,101.85032071
State,,Virginia,All,2010-11,201129,,,68,1086,6.2615101289,94.858656948
State,,Vermont,All,2009-10,201001,,,14,117,11.965811966,116.6150031
State,,Pennsylvania,All,2016-17,201727,,,129,2399,5.3772405169,99.570650954
Region,5,,All,2013-14,201346,1,556,557,8673,6.4222299089,102.91819493
State,,Mississippi,All,2016-17,201730,,,31,536,5.7835820896,96.726676165
Region,9,,All,2015-16,201610,57,667,724,7218,10.030479357,120.03876731
State,,Idaho,All,2015-16,201602,,,22,247,8.9068825911,111.11517682
State,,Mississippi,All,2016-17,201721,,,30,569,5.2724077329,102.68186332
State,,Rhode Island,All,2016-17,201727,,,12,152,7.8947368421,83.989001692
State,,Alabama,All,2015-16,201625,,,48,988,4.8582995951,106.97016634
State,,Hawaii,All,2011-12,201148,,,26,195,13.333333333,102.72470636
State,,Virginia,All,2012-13,201338,,,68,1161,5.8570198105,101.40966917
State,,Utah,All,2016-17,201737,,,20,356,5.6179775281,124.65696048
Region,2,,All,2016-17,201649,1,306,307,4467,6.8726214462,107.6252771
State,,Rhode Island,All,2016-17,201737,,,11,163,6.7484662577,90.06715313
State,,Minnesota,All,2017-18,201819,,,41,837,4.8984468339,112.03455829
State,,Arkansas,All,2017-18,201806,,,81,685,11.824817518,122.42603044
State,,Minnesota,All,2017-18,201751,,,67,967,6.9286452947,129.43538574
Region,9,,All,2014-15,201450,3,481,484,6469,7.4818364508,107.58254166
State,,Rhode Island,All,2015-16,201638,,,8,181,4.4198895028,100.01321912
State,,Nevada,All,2015-16,201542,,,21,412,5.0970873786,107.8723191
